년도,출생아수,합계출산율
1970,1007,4.53
1971,1025,4.54
1972,953,4.12
1973,966,4.07
1974,923,3.77
1975,874,3.43
1976,796,3
1977,825,2.99
1978,751,2.64
1979,863,2.9
1980,863,2.82
1981,867,2.57
1982,848,2.39
1983,769,2.06
1984,675,1.74
1985,655,1.66
1986,636,1.58
1987,624,1.53
1988,633,1.55
1989,639,1.56
1990,650,1.57
1991,709,1.71
1992,731,1.76
1993,716,1.654
1994,721,1.656
1995,715,1.634
1996,691,1.574
1997,675.4,1.537
1998,641.6,1.464
1999,620.7,1.425
2000,640.1,1.48
2001,559.9,1.309
2002,496.9,1.178
2003,495,1.191
2004,477,1.164
2005,438.7,1.085
2006,451.8,1.132
2007,496.8,1.259
2008,465.9,1.192
2009,444.8,1.149
2010,470.2,1.226
2011,471.3,1.244
2012,484.6,1.297
2013,436.5,1.187
2014,435.4,1.205
2015,438.4,1.239
2016,406.2,1.172
2017,357.8,1.052
2018,326.8,0.977
2019,302.7,0.918
